AUC: 0.511041, CE: 0.693384 + 0.000934, CEpre: 0.705815 + 0.006931, time 49.53
AUC: 0.511681, CE: 0.692726 + 0.001348, CEpre: 0.702381 + 0.006241, time 143.46
AUC: 0.538812, CE: 0.692476 + 0.002460, CEpre: 0.737303 + 0.016995, time 823.06
AUC: 0.471183, CE: 0.800264 + 0.016492, CEpre: 6.512516 + 0.287980, time 899.96
AUC: 0.506164, CE: 0.691805 + 0.001447, CEpre: 0.692081 + 0.000908, time 955.57
AUC: 0.481516, CE: 0.693220 + 0.000092, CEpre: 0.694543 + 0.001172, time 1030.45
AUC: 0.512094, CE: 0.693003 + 0.000658, CEpre: 0.694184 + 0.002404, time 1165.83
AUC: 0.494656, CE: 0.693149 + 0.000678, CEpre: 0.697454 + 0.003762, time 1301.64
AUC: 0.549260, CE: 0.689826 + 0.003228, CEpre: 0.725917 + 0.014353, time 1390.92
AUC: 0.510099, CE: 0.693320 + 0.000929, CEpre: 0.704430 + 0.005795, time 1428.59
AUC: 0.476858, CE: 0.712558 + 0.006535, CEpre: 1.705683 + 0.103191, time 1466.09
AUC: 0.498670, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 1475.29
AUC: 0.495953, CE: 0.693147 + 0.000000, CEpre: 0.693148 + 0.000000, time 1668.97
AUC: 0.516931, CE: 0.693140 + 0.001642, CEpre: 0.718898 + 0.010035, time 2393.90
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 2530.92
AUC: 0.467844, CE: 0.693280 + 0.000091, CEpre: 0.695714 + 0.001334, time 3876.81
AUC: 0.467844, CE: 0.693433 + 0.000145, CEpre: 0.698642 + 0.002048, time 4987.89
AUC: 0.522125, CE: 0.695729 + 0.004509, CEpre: 0.996671 + 0.042162, time 5085.38
AUC: 0.465810, CE: 0.693192 + 0.000049, CEpre: 0.694020 + 0.000738, time 5640.53
AUC: 0.515271, CE: 0.691736 + 0.002385, CEpre: 0.720071 + 0.011101, time 5659.84
AUC: 0.550719, CE: 0.690199 + 0.005201, CEpre: 0.909716 + 0.044256, time 5934.59
AUC: 0.558302, CE: 0.691464 + 0.004494, CEpre: 0.880663 + 0.032782, time 6278.92
AUC: 0.576646, CE: 0.689032 + 0.005145, CEpre: 0.890584 + 0.040655, time 6530.34
AUC: 0.567409, CE: 0.690687 + 0.004450, CEpre: 0.844388 + 0.034022, time 6843.27
AUC: 0.549960, CE: 0.693751 + 0.004196, CEpre: 0.898773 + 0.037665, time 7431.39
